,idandtype,productname,company,grade,interest,period,default_rate,target_rate,target,review_counts,average_rate
227,1227P2PINVEST,제4차 견과류 구매자금,cso,해당없음,12.0,1개월,0.0,100.0,100000000,3,5.0
228,1228P2PINVEST,제2차 축산 구매자금,cso,해당없음,10.0,1개월,0.0,100.0,99700000,3,5.0
229,1229P2PINVEST,커피생두 구매자금,cso,해당없음,12.0,2개월,0.0,100.0,80000000,3,5.0
230,1230P2PINVEST,제2차 전세자금,cso,해당없음,12.0,3개월,0.0,100.0,40000000,3,5.0
231,1231P2PINVEST,제3차 견과류 구매자금,cso,해당없음,12.0,2개월,0.0,100.0,60000000,3,5.0
232,1232P2PINVEST,제5차 순금 상품,cso,해당없음,12.0,1개월,0.0,100.0,12000000,3,5.0
233,1233P2PINVEST,제4차 순금 상품,cso,해당없음,12.0,2개월,0.0,100.0,12000000,3,5.0
234,1234P2PINVEST,제2차 견과류 구매자금,cso,해당없음,12.0,1개월,0.0,100.0,90000000,3,5.0
235,1235P2PINVEST,제1차 견과류 구매자금,cso,해당없음,12.0,1개월,0.0,100.0,180000000,3,5.0
236,1236P2PINVEST,축산 구매자금,cso,해당없음,10.0,1개월,0.0,100.0,77000000,3,5.0
237,1237P2PINVEST,창업자금 마련을 위한 대출,cso,해당없음,12.0,1개월,0.0,100.0,90000000,3,5.0
